HIP|RAhms|DEdms|Vmag|RAICRS|DEICRS
 54767|11 12 45.27|-64 10 11.2| 5.22|168.18862745|-64.16978296
 54811|11 13 14.69|-44 22 20.0| 5.77|168.31120754|-44.37222081
 54829|11 13 30.79|-59 37 09.5| 5.74|168.37829647|-59.61931670
 54840|11 13 39.41|-53 13 54.9| 5.75|168.41420693|-53.23190310
 54849|11 13 45.58|-00 04 10.2| 5.40|168.43991709|-00.06950857
 54863|11 14 01.81|+08 03 39.4| 5.79|168.50752833|+08.06095499
 54872|11 14 06.41|+20 31 26.5| 2.56|168.52671705|+20.52403384
 54879|11 14 14.44|+15 25 47.1| 3.33|168.56017036|+15.42976310
 54951|11 15 12.24|+23 05 43.9| 4.56|168.80101292|+23.09552528
 55016|11 15 51.90|+13 18 27.3| 5.31|168.96623670|+13.30759308
 55084|11 16 39.76|-03 39 05.5| 4.45|169.16568371|-03.65151412
 55086|11 16 41.93|+49 28 34.6| 5.88|169.17469204|+49.47627707
 55137|11 17 17.37|+02 00 39.3| 5.18|169.32236746|+02.01090315
 55203|11 18 11.24|+31 31 50.8| 3.79|            |
 55219|11 18 28.76|+33 05 39.3| 3.49|169.61981385|+33.09423881
 55249|11 18 54.98|+01 39 01.9| 5.90|169.72908955|+01.65053072
 55266|11 19 07.94|+38 11 08.6| 4.76|169.78309755|+38.18572227
 55280|11 19 16.84|-64 34 57.4| 5.99|169.82018140|-64.58259742
 55282|11 19 20.52|-14 46 44.6| 3.56|169.83551103|-14.77904358
 55425|11 21 00.44|-54 29 27.7| 3.90|170.25184266|-54.49101395
 55434|11 21 08.25|+06 01 45.7| 4.05|170.28436733|+06.02935289
 55560|11 22 49.61|+43 28 57.9| 4.99|170.70672415|+43.48273665
 55581|11 23 08.17|-56 46 45.7| 5.82|170.78402208|-56.77936853
 55588|11 23 12.70|-36 09 53.2| 5.00|170.80292630|-36.16476782
 55597|11 23 21.43|-64 57 17.0| 5.09|170.83929752|-64.95473134
 55598|11 23 22.07|-18 46 47.6| 5.08|170.84196837|-18.77990277
 55642|11 23 55.37|+10 31 46.9| 4.00|170.98070334|+10.52969772
 55650|11 24 02.34|+01 24 27.9| 5.39|171.00973642|+01.40776375
 55657|11 24 11.18|-72 15 23.8| 5.55|171.04657107|-72.25660192
 55687|11 24 36.61|-10 51 33.8| 4.81|171.15252245|-10.85938276
 55705|11 24 52.98|-17 41 02.5| 4.06|171.22076335|-17.68401748
 55716|11 24 58.99|+11 25 49.1| 5.80|171.24577834|+11.43030968
 55756|11 25 29.53|-36 03 47.2| 5.21|171.37304571|-36.06310533
 55763|11 25 33.13|-37 44 51.2| 5.87|171.38803347|-37.74754766
 55765|11 25 36.46|+16 27 23.6| 5.58|171.40191420|+16.45655059
 55779|11 25 43.56|-63 58 20.3| 5.18|171.43151730|-63.97231572
 55797|11 25 57.18|+55 51 01.2| 5.73|171.48826775|+55.85034058
 55831|11 26 35.43|-61 06 54.6| 5.22|171.64764356|-61.11517130
 55849|11 26 47.30|-53 09 35.8| 5.80|171.69710349|-53.15995577
 55874|11 27 09.58|-12 21 24.5| 5.93|171.78989699|-12.35680710
 55945|11 27 56.23|+02 51 22.6| 4.95|171.98429124|+02.85629071
 56000|11 28 35.11|-42 40 27.2| 5.14|172.14627993|-42.67421801
 56034|11 29 04.16|+39 20 13.0| 5.30|172.26734378|+39.33694235
 56035|11 29 04.70|+61 46 40.0| 5.83|172.26959813|+61.77778557
 56078|11 29 38.65|-24 27 50.6| 5.77|172.41103268|-24.46405831
 56080|11 29 41.86|+15 24 48.2| 5.74|172.42442712|+15.41338550
 56127|11 30 18.88|-03 00 12.5| 4.77|172.57867422|-03.00345887
 56146|11 30 29.08|+18 24 35.1| 5.54|172.62117030|+18.40973855
 56148|11 30 31.17|+43 10 23.0| 5.94|172.62987804|+43.17304329
 56211|11 31 24.29|+69 19 52.0| 3.82|172.85120199|+69.33112161
 56243|11 31 46.07|-59 26 31.4| 5.07|172.94197140|-59.44206384
 56250|11 31 48.81|-59 30 56.3| 5.12|172.95336415|-59.51564932
 56280|11 32 16.42|-29 15 40.9| 4.93|173.06840611|-29.26137351
 56287|11 32 20.00|-66 57 42.6| 5.89|173.08331854|-66.96183490
 56290|11 32 20.76|+61 04 57.9| 5.46|173.08648748|+61.08275166
 56318|11 32 47.54|-07 49 39.1| 5.94|173.19808805|-07.82752440
 56319|11 32 48.14|-40 26 10.8| 5.64|173.20057957|-40.43633610
 56332|11 32 54.15|-31 05 14.0| 5.13|173.22562476|-31.08723547
 56343|11 33 00.26|-31 51 27.1| 3.54|173.25107936|-31.85752405
 56391|11 33 37.26|-40 35 12.1| 5.39|173.40526595|-40.58670322
 56445|11 34 22.06|+03 03 37.5| 5.76|173.59189996|+03.06041500
 56452|11 34 29.95|-32 50 00.0| 5.96|173.62480364|-32.83334205
 56473|11 34 42.50|+16 47 48.9| 5.95|173.67707018|+16.79691629
 56480|11 34 45.71|-54 15 50.9| 4.62|173.69046642|-54.26413167
 56497|11 34 57.00|-49 08 13.0| 5.50|173.73751871|-49.13694740
 56510|11 35 04.90|+54 47 07.4| 5.63|173.77040437|+54.78537508
 56518|11 35 13.36|-47 22 21.2| 5.64|173.80565752|-47.37256106
 56561|11 35 46.93|-63 01 11.4| 3.11|173.94553448|-63.01982488
 56573|11 35 55.56|-47 38 29.5| 5.26|173.98148244|-47.64152017
 56583|11 36 02.62|+69 19 23.7| 5.19|174.01089937|+69.32325973
 56601|11 36 17.94|+27 46 52.7| 5.80|174.07475383|+27.78130214
 56606|11 36 22.38|-61 03 08.8| 5.84|174.09325391|-61.05243721
 56620|11 36 34.92|-33 34 11.9| 5.71|174.14551817|-33.56997476
 56633|11 36 40.95|-09 48 08.1| 4.70|174.17061875|-09.80225368
 56647|11 36 56.93|-00 49 25.9| 4.30|174.23720774|-00.82385424
 56656|11 37 00.80|-61 17 00.4| 5.14|174.25334034|-61.28344643
 56675|11 37 15.94|-75 53 47.5| 5.64|174.31642653|-75.89654092
 56700|11 37 34.05|-47 44 50.6| 5.46|174.39187576|-47.74737759
 56727|11 37 48.51|-67 37 13.3| 5.94|174.45211345|-67.62035361
 56754|11 38 07.37|-61 49 35.6| 5.15|174.53071631|-61.82655484
 56770|11 38 20.69|+43 37 31.8| 5.56|174.58619878|+43.62551361
 56779|11 38 27.61|+08 08 03.4| 5.24|174.61504009|+08.13428325
 56802|11 38 39.96|-13 12 08.1| 5.48|174.66648767|-13.20224958
 56862|11 39 29.63|-65 23 51.9| 5.01|174.87347083|-65.39774890
 56922|11 40 12.82|-34 44 40.8| 4.70|175.05341839|-34.74465530
 56970|11 40 42.49|-53 58 06.8| 5.95|175.17705098|-53.96854858
 56975|11 40 47.11|+21 21 10.2| 5.26|175.19627319|+21.35284143
 56986|11 40 53.65|-62 05 24.4| 4.93|175.22355273|-62.09010401
 56997|11 41 03.03|+34 12 09.2| 5.31|175.26260484|+34.20256022
 57013|11 41 19.86|-43 05 44.4| 5.54|175.33273307|-43.09567719
 57029|11 41 34.50|+31 44 45.5| 5.73|175.39375241|+31.74598350
 57047|11 41 43.95|-32 29 57.6| 5.20|175.43313494|-32.49932237
 57111|11 42 28.43|+66 44 41.3| 5.32|175.61844968|+66.74480850
 57165|11 43 27.20|-37 11 24.4| 5.98|175.86333833|-37.19010227
 57175|11 43 31.20|-62 29 21.8| 5.00|175.87999922|-62.48939856
 57283|11 44 45.76|-18 21 02.2| 4.71|176.19066226|-18.35061467
 57328|11 45 17.00|+08 15 29.4| 4.84|176.32085333|+08.25817475
 57363|11 45 36.57|-66 43 43.8| 3.63|176.40236386|-66.72884344
 57371|11 45 44.00|-45 41 24.5| 5.28|176.43334854|-45.69014545
 57380|11 45 51.57|+06 31 47.3| 4.04|176.46487734|+06.52981394
 57399|11 46 03.13|+47 46 45.6| 3.69|176.51305887|+47.77933701
 57439|11 46 30.85|-61 10 42.1| 4.11|176.62853753|-61.17835907
 57443|11 46 32.25|-40 30 04.8| 4.89|176.63436255|-40.50133452
 57477|11 46 55.61|+55 37 41.8| 5.27|176.73170252|+55.62826771
 57512|11 47 19.17|-57 41 47.6| 5.42|176.82987104|-57.69654711
 57562|11 47 54.93|+08 14 45.1| 5.31|176.97888233|+08.24586534
 57565|11 47 59.23|+20 13 08.2| 4.50|176.99677650|+20.21894121
 57581|11 48 14.49|-66 48 53.5| 4.75|177.06037263|-66.81487085
 57606|11 48 38.77|+14 17 03.1| 5.90|177.16154436|+14.28419729
 57613|11 48 45.11|-26 44 59.1| 5.10|177.18793920|-26.74975369
 57632|11 49 03.88|+14 34 20.4| 2.14|177.26615977|+14.57233687
 57669|11 49 41.09|-63 47 18.6| 4.30|177.42120019|-63.78848906
 57670|11 49 41.80|+34 55 54.3| 5.73|177.42416287|+34.93173940
 57696|11 49 56.63|-70 13 32.8| 4.98|177.48594609|-70.22578580
 57741|11 50 27.28|-62 38 57.8| 5.68|177.61368682|-62.64938330
 57757|11 50 41.29|+01 45 55.4| 3.59|177.67202553|+01.76537705
 57791|11 51 02.23|-05 20 00.0| 5.62|177.75929508|-05.33333400
 57803|11 51 08.75|-45 10 24.4| 4.47|177.78646511|-45.17344950
 57841|11 51 41.62|-30 50 02.7| 5.85|177.92340338|-30.83409571
 57851|11 51 51.27|-65 12 21.2| 4.89|177.96363695|-65.20589445
 57870|11 52 10.39|-56 59 16.2| 5.56|178.04330796|-56.98782681
 57936|11 52 54.56|-33 54 29.3| 4.29|178.22733867|-33.90813014
 58001|11 53 49.74|+53 41 41.0| 2.41|178.45725536|+53.69473296
 58082|11 54 42.51|-25 42 50.6| 5.26|178.67711574|-25.71406632
 58103|11 55 00.02|-63 16 45.0| 5.89|178.75009496|-63.27917897
 58110|11 55 03.15|+08 26 38.1| 5.58|178.76313138|+08.44390534
 58158|11 55 40.13|-28 28 37.3| 5.93|178.91720463|-28.47703681
 58159|11 55 40.53|+15 38 48.5| 5.53|178.91886481|+15.64680922
 58181|11 55 58.41|+56 35 54.8| 5.83|178.99336544|+56.59856271
 58188|11 56 00.98|-17 09 02.9| 5.17|179.00409802|-17.15080863
 58326|11 57 40.04|-62 26 55.4| 5.59|179.41682551|-62.44873578
 58379|11 58 15.25|-56 19 02.3| 5.44|179.56352995|-56.31731449
 58427|11 58 47.67|-64 20 22.4| 5.59|179.69861981|-64.33955671
 58460|11 59 17.54|+33 10 01.3| 5.95|179.82307392|+33.16702114
 58484|11 59 37.69|-78 13 18.5| 4.88|179.90704708|-78.22181833
 58510|11 59 56.92|+03 39 18.8| 5.36|179.98718202|+03.65521716
 58576|12 00 44.37|-10 26 41.4| 5.54|180.18486353|-10.44483921
 58587|12 00 51.17|-19 39 32.4| 5.28|180.21320843|-19.65899848
 58590|12 00 52.39|+06 36 51.8| 4.65|180.21829289|+06.61439464
 58654|12 01 39.53|+36 02 32.2| 5.59|180.41471830|+36.04227697
 58684|12 02 07.06|+43 02 43.7| 5.22|180.52942963|+43.04546506
 58720|12 02 37.76|-69 11 32.2| 5.89|180.65731961|-69.19227106
 58758|12 03 01.70|-63 18 46.6| 4.32|180.75707974|-63.31294495
 58803|12 03 39.31|-42 26 01.6| 5.15|180.91381150|-42.43378714
 58858|12 04 16.58|+21 27 33.0| 5.89|181.06906686|+21.45916332
 58867|12 04 19.24|-63 09 56.6| 4.72|181.08015725|-63.16571094
 58884|12 04 38.95|-68 19 44.0| 5.34|181.16227840|-68.32889673
 58905|12 04 46.66|-76 31 09.0| 5.04|181.19443206|-76.51917475
 58921|12 04 57.25|-60 58 05.7| 5.95|181.23852543|-60.96823848
 58948|12 05 12.67|+08 43 58.2| 4.12|181.30279000|+08.73284563
 58952|12 05 14.74|+76 54 21.4| 5.78|181.31141141|+76.90595813
 59050|12 06 23.08|-65 42 33.9| 5.95|181.59618267|-65.70942594
 59072|12 06 52.85|-64 36 49.1| 4.14|181.72022021|-64.61363898
 59151|12 07 50.09|-75 22 01.4| 5.17|181.95870080|-75.36706513
 59173|12 08 05.26|-50 39 40.5| 4.46|182.02190127|-50.66125439
 59184|12 08 14.73|-48 41 32.9| 5.34|182.06137370|-48.69247036
 59196|12 08 21.54|-50 43 20.7| 2.58|182.08976505|-50.72240999
 59199|12 08 24.75|-24 43 43.6| 4.02|182.10313607|-24.72877993
 59229|12 08 53.84|-44 19 33.2| 5.75|182.22432744|-44.32588609
 59232|12 08 54.60|-41 13 53.7| 5.51|182.22749200|-41.23158452
 59285|12 09 41.29|+01 53 54.0| 5.95|182.42202206|+01.89832789
 59309|12 10 03.51|+05 48 25.1| 5.72|182.51463175|+05.80696343
 59316|12 10 07.53|-22 37 11.3| 3.02|182.53135773|-22.61979211
 59394|12 11 03.88|-23 36 08.5| 5.45|182.76617138|-23.60237239
 59449|12 11 39.15|-52 22 06.3| 3.97|182.91313090|-52.36841559
 59468|12 11 51.20|+25 52 13.3| 5.66|182.96333771|+25.87035539
 59501|12 12 09.30|+20 32 31.6| 5.60|183.03874666|+20.54210573
 59504|12 12 11.91|+77 36 58.3| 5.14|183.04963833|+77.61619242
 59517|12 12 21.99|-62 57 02.8| 5.91|183.09161030|-62.95077296
 59607|12 13 25.06|-38 55 45.0| 5.77|183.35441052|-38.92915939
 59608|12 13 25.99|+10 15 44.5| 5.85|183.35831031|+10.26236039
 59654|12 14 02.73|-45 43 26.1| 5.31|183.51136205|-45.72393011
 59728|12 14 59.58|-20 50 39.2| 5.82|183.74825968|-20.84423329
 59746|12 15 08.53|+70 12 00.3| 5.72|183.78555700|+70.20007671
 59747|12 15 08.76|-58 44 56.0| 2.79|183.78648733|-58.74890179
 59774|12 15 25.45|+57 01 57.4| 3.32|183.85603795|+57.03259792
 59803|12 15 48.47|-17 32 31.1| 2.58|183.95194937|-17.54198370
 59819|12 16 00.23|+14 53 56.9| 5.09|184.00097886|+14.89914477
 59831|12 16 07.54|+40 39 36.9| 5.69|184.03140154|+40.66025851
 59847|12 16 20.56|+23 56 43.5| 4.93|184.08564668|+23.94542332
 59856|12 16 30.17|+33 03 42.5| 4.99|184.12572840|+33.06179861
 59920|12 17 29.56|+53 11 29.2| 5.80|184.37317610|+53.19144123
 59923|12 17 30.60|+28 56 13.6| 5.71|184.37748884|+28.93710321
 59929|12 17 34.64|-67 57 38.4| 4.06|184.39431802|-67.96067161
 60000|12 18 20.94|-79 18 44.2| 4.24|184.58726633|-79.31226899
 60009|12 18 26.29|-64 00 11.0| 4.06|184.60955300|-64.00304555
 60030|12 18 40.30|-00 47 13.7| 5.90|184.66790853|-00.78714480
 60044|12 18 50.07|+75 09 38.0| 5.47|184.70860512|+75.16055020
 60059|12 18 59.83|-55 08 34.7| 5.01|184.74928553|-55.14297519
 60122|12 19 48.72|+48 59 02.9| 5.28|184.95301297|+48.98413192
 60129|12 19 54.39|-00 40 00.3| 3.89|184.97663096|-00.66674709
 60157|12 20 10.83|-22 10 32.3| 5.94|185.04514374|-22.17562676
 60170|12 20 19.72|+26 37 11.1| 5.52|185.08216696|+26.61975090
 60172|12 20 21.15|+03 18 45.8| 4.97|185.08813566|+03.31272688
 60189|12 20 33.71|-22 12 57.0| 5.20|185.14046113|-22.21583387
 60202|12 20 43.09|+17 47 33.6| 4.72|185.17955477|+17.79265307
 60212|12 20 50.83|+57 51 51.4| 5.54|185.21179250|+57.86428953
 60221|12 20 55.72|-13 33 56.7| 5.14|185.23214915|-13.56574902
 60260|12 21 21.81|-60 24 04.9| 3.59|185.34088036|-60.40136988
 60308|12 21 57.44|-56 22 27.8| 5.91|185.48932747|-56.37438360
 60320|12 22 07.39|-67 31 19.5| 5.15|185.53077773|-67.52209279
 60329|12 22 12.03|-68 18 25.9| 5.73|185.55014315|-68.30719873
 60351|12 22 30.32|+25 50 46.3| 4.78|185.62632982|+25.84618178
 60379|12 22 49.47|-57 40 34.0| 5.38|185.70613474|-57.67610097
 60425|12 23 21.60|-24 50 26.2| 5.66|185.83999906|-24.84062116
 60449|12 23 35.45|-35 24 45.6| 5.32|185.89770601|-35.41265923
 60463|12 23 44.79|-38 54 40.9| 5.79|185.93660912|-38.91135056
 60485|12 24 01.48|+51 33 44.0| 4.76|186.00617625|+51.56222925
 60514|12 24 18.54|+26 05 55.0| 5.17|186.07724865|+26.09861325
 60584|12 25 03.22|+56 46 40.3| 5.82|186.26343152|+56.77785826
 60595|12 25 11.80|-11 36 37.8| 5.95|186.29917028|-11.61051268
 60610|12 25 21.76|-35 11 11.0| 5.71|186.34068272|-35.18640097
 60646|12 25 51.00|+39 01 07.3| 5.01|186.46248809|+39.01869867
 60697|12 26 24.07|+27 16 05.7| 4.92|186.60030726|+27.26826273
 60710|12 26 31.79|-51 27 02.2| 4.82|186.63245078|-51.45061150
 60718|12 26 35.94|-63 05 56.6| 0.77|186.64975585|-63.09905586
 60735|12 26 51.69|-32 49 48.2| 5.56|186.71539248|-32.83004764
 60742|12 26 56.33|+28 16 07.0| 4.35|186.73469831|+28.26861975
 60746|12 26 59.30|+26 49 32.6| 4.98|186.74710034|+26.82572160
 60781|12 27 28.88|-58 59 30.4| 5.38|186.87031761|-58.99176932
 60795|12 27 35.13|+55 42 45.9| 5.68|186.89635756|+55.71275225
 60823|12 28 02.41|-50 13 50.2| 3.91|187.01004828|-50.23060480
 60855|12 28 22.49|-39 02 28.1| 5.45|187.09369113|-39.04113804
 60904|12 28 54.72|+25 54 46.4| 5.29|187.22799077|+25.91288804
 60941|12 29 27.05|+24 06 32.1| 5.47|187.36272398|+24.10892077
 60957|12 29 43.22|+20 53 46.3| 5.68|187.43009821|+20.89618496
 60965|12 29 51.98|-16 30 54.3| 2.94|187.46659650|-16.51509397
 60969|12 29 54.19|-56 31 29.9| 5.78|187.47580895|-56.52496942
 60978|12 29 57.40|+58 24 19.9| 5.37|187.48916244|+58.40552660
 60998|12 30 06.76|+69 12 04.5| 5.01|187.52817199|+69.20126087
 61015|12 30 17.46|-23 41 47.1| 5.63|187.57275779|-23.69642033
 61071|12 31 00.57|+24 34 01.9| 5.47|187.75236725|+24.56718941
 61084|12 31 09.93|-57 06 45.2| 1.59|187.79137202|-57.11256922
 61136|12 31 40.34|-59 25 26.1| 5.49|187.91810373|-59.42391403
 61158|12 31 56.15|-63 30 21.2| 5.96|187.98397037|-63.50589876
 61174|12 32 04.48|-16 11 45.1| 4.30|188.01868646|-16.19586556
 61181|12 32 09.90|-73 00 03.8| 5.88|188.04122968|-73.00104307
 61199|12 32 28.11|-72 07 58.7| 3.84|188.11712896|-72.13297590
 61212|12 32 36.09|-13 51 32.3| 5.74|188.15036083|-13.85897407
 61281|12 33 29.04|+69 47 17.6| 3.85|188.37101041|+69.78820992
 61296|12 33 34.27|-12 49 49.2| 5.58|188.39278750|-12.83032829
 61309|12 33 38.90|+33 14 51.6| 5.42|188.41210253|+33.24766003
 61317|12 33 45.09|+41 21 24.4| 4.24|188.43788561|+41.35676779
 61318|12 33 46.80|-09 27 07.5| 5.48|188.44498858|-09.45207768
 61359|12 34 23.23|-23 23 47.8| 2.65|188.59680864|-23.39662306
 61379|12 34 42.46|-44 40 21.1| 5.76|188.67690229|-44.67251655
 61384|12 34 44.07|+70 01 18.4| 4.95|188.68360523|+70.02177318
 61394|12 34 51.12|+22 37 45.1| 4.80|188.71299083|+22.62918961
 61418|12 35 07.76|+18 22 37.2| 5.03|188.78234382|+18.37700118
 61420|12 35 08.15|+21 52 53.2| 5.86|188.78397424|+21.88143144
 61468|12 35 45.61|-41 01 19.0| 5.12|188.94006062|-41.02194744
 61498|12 36 01.07|-39 52 10.0| 5.78|189.00447532|-39.86944684
 61558|12 36 47.37|-05 49 54.7| 5.88|189.19737813|-05.83185110
 61571|12 36 58.35|+17 05 22.5| 5.70|189.24314199|+17.08957856
 61585|12 37 11.08|-69 08 07.9| 2.69|189.29618208|-69.13553358
 61621|12 37 42.23|-27 08 19.2| 5.41|189.42594398|-27.13865883
 61622|12 37 42.33|-48 32 28.6| 3.85|189.42636588|-48.54128816
 61658|12 38 22.45|+01 51 16.9| 5.68|189.59355028|+01.85470456
 61720|12 39 03.48|-30 25 20.5| 5.86|189.76451917|-30.42234930
 61724|12 39 07.36|+21 03 45.3| 5.49|189.78065686|+21.06258094
 61740|12 39 14.81|-07 59 43.8| 4.66|189.81171855|-07.99550439
 61789|12 39 52.56|-39 59 14.1| 4.63|189.96900602|-39.98724188
 61910|12 41 16.02|-13 00 50.1| 5.17|190.31676407|-13.01392023
 61916|12 41 23.04|-46 08 44.6| 5.84|190.34602074|-46.14572729
 61932|12 41 31.20|-48 57 35.6| 2.20|190.38002079|-48.95988553
 61941|12 41 40.00|-01 26 58.3| 2.74|190.41667557|-01.44952231
 61960|12 41 53.01|+10 14 09.0| 4.88|190.47086482|+10.23584294
 61966|12 41 56.60|-59 41 08.9| 4.91|190.48582000|-59.68581085
 61968|12 41 57.16|+06 48 23.9| 5.57|190.48816539|+06.80664416
 62012|12 42 35.56|-48 48 46.9| 4.66|190.64817140|-48.81303493
 62027|12 42 50.28|-63 03 31.0| 5.27|190.70951152|-63.05861600
 62058|12 43 09.21|-56 10 34.3| 5.99|190.78838403|-56.17619646
 62103|12 43 38.02|-01 34 36.5| 5.91|190.90842535|-01.57681459
 62131|12 44 00.55|-28 19 25.9| 5.46|191.00229297|-28.32386102
 62207|12 44 59.68|+39 16 42.9| 5.95|191.24865101|+39.27857766
 62223|12 45 07.83|+45 26 24.8| 5.42|191.28262003|+45.44022447
 62267|12 45 37.12|+07 40 23.9| 5.22|191.40467529|+07.67331477
 62268|12 45 37.92|-60 58 52.2| 4.69|191.40798434|-60.98116057
 62322|12 46 16.87|-68 06 29.1| 3.04|191.57029013|-68.10809405
 62325|12 46 22.38|+09 32 26.8| 5.65|191.59324849|+09.54078962
 62327|12 46 22.75|-56 29 19.6| 4.62|191.59478955|-56.48877967
 62356|12 46 38.75|+16 34 39.5| 5.12|191.66147205|+16.57764912
 62360|12 46 46.22|-33 18 55.5| 5.87|191.69258582|-33.31541396
 62402|12 47 18.93|+62 46 52.1| 5.88|191.82885595|+62.78113875
 62423|12 47 34.34|+66 47 25.1| 5.43|191.89308893|+66.79031573
 62434|12 47 43.32|-59 41 19.4| 1.25|191.93049537|-59.68873246
 62500|12 48 26.36|-27 35 50.0| 5.65|192.10982759|-27.59723017
 62512|12 48 39.34|+60 19 11.6| 5.83|192.16390269|+60.31989667
 62541|12 48 54.20|+14 07 21.5| 5.71|192.22581729|+14.12263297
 62561|12 49 06.79|+83 25 04.1| 5.92|192.27829680|+83.41779443
 62572|12 49 13.80|+83 24 46.3| 5.38|192.30750199|+83.41285818
 62576|12 49 17.51|+27 33 08.4| 5.76|192.32296815|+27.55232611
 62608|12 49 44.95|-71 59 10.5| 5.55|192.43728988|-71.98624542
 62641|12 50 10.81|+37 31 00.8| 5.87|192.54502356|+37.51688446
 62683|12 50 41.19|-33 59 57.4| 4.90|192.67161238|-33.99926779
 62703|12 50 57.90|-52 47 14.6| 5.70|192.74126496|-52.78739520
 62732|12 51 17.98|-60 19 47.2| 5.71|192.82492384|-60.32978611
 62763|12 51 41.93|+27 32 26.6| 4.93|192.92469926|+27.54073393
 62786|12 51 56.95|-39 40 49.4| 5.99|192.98729210|-39.68038459
 62861|12 53 04.26|-54 57 08.9| 5.91|193.26776709|-54.95248410
 62867|12 53 06.98|-48 56 35.7| 4.33|193.27906907|-48.94325313
 62886|12 53 17.77|+21 14 42.1| 4.89|193.32404513|+21.24502058
 62894|12 53 21.90|-60 19 42.6| 5.75|193.34124905|-60.32848627
 62896|12 53 26.15|-40 10 43.7| 4.25|193.35894159|-40.17881857
 62931|12 53 48.92|-60 22 34.5| 5.89|193.45384782|-60.37624027
 62956|12 54 01.63|+55 57 35.4| 1.76|193.50680410|+55.95984301
 62985|12 54 21.17|-09 32 20.2| 4.77|193.58822553|-09.53894647
 63003|12 54 35.66|-57 10 40.4| 4.03|193.64857337|-57.17789116
 63005|12 54 36.92|-57 10 07.1| 5.08|193.65383866|-57.16864387
 63007|12 54 39.22|-59 08 48.0| 4.62|193.66341683|-59.14666538
 63024|12 54 56.54|+47 11 48.3| 5.75|193.73556688|+47.19673771
 63031|12 54 58.35|-85 07 24.3| 5.45|193.74311570|-85.12342237
 63033|12 54 58.71|-44 09 05.1| 5.89|193.74460949|-44.15140639
 63066|12 55 19.46|-42 54 56.5| 5.46|193.83108971|-42.91570150
 63076|12 55 28.56|+65 26 18.8| 5.23|193.86897970|+65.43854743
 63090|12 55 36.48|+03 23 51.4| 3.39|193.90201366|+03.39759862
 63117|12 55 57.14|-56 50 08.9| 5.34|193.98808228|-56.83580429
 63121|12 56 00.60|+38 18 52.9| 5.61|194.00251587|+38.31469771
 63125|12 56 01.84|+38 19 05.7| 2.89|194.00767051|+38.31824617
 63143|12 56 17.64|+54 05 58.1| 5.84|194.07350869|+54.09948306
 63165|12 56 31.72|-72 11 06.7| 5.93|194.13216726|-72.18518249
 63210|12 57 04.38|-51 11 55.4| 5.17|194.26825217|-51.19871605
 63355|12 58 55.47|+17 24 33.7| 4.76|194.73110786|+17.40936063
 63414|12 59 39.55|-03 48 43.0| 5.79|194.91477267|-03.81194179
 63432|12 59 55.28|+66 35 50.3| 5.37|194.98031630|+66.59730755
 63462|13 00 16.49|+30 47 06.1| 4.88|195.06868941|+30.78503676
 63494|13 00 35.96|-03 22 07.0| 5.99|195.14982714|-03.36860790
 63503|13 00 43.59|+56 21 58.8| 4.93|195.18160731|+56.36633134
 63533|13 01 09.62|+17 07 23.5| 5.97|195.29008399|+17.12320260
 63608|13 02 10.76|+10 57 32.8| 2.85|195.54483557|+10.95910186
 63613|13 02 15.78|-71 32 55.7| 3.61|195.56573968|-71.54879865
 63688|13 03 05.36|-71 28 32.6| 5.93|195.77233515|-71.47572327
 63724|13 03 33.35|-49 31 38.1| 4.83|195.88894965|-49.52723627
 63738|13 03 46.03|-20 35 00.6| 5.58|195.94177817|-20.58350964
 63901|13 05 44.46|+35 47 55.9| 5.20|196.43526005|+35.79885169
 63916|13 05 52.28|+45 16 06.6| 5.64|196.46783055|+45.26848988
 63945|13 06 16.73|-48 27 47.7| 4.71|196.56970994|-48.46325358
 63950|13 06 22.58|+22 36 58.6| 5.53|196.59410061|+22.61629063
 63972|13 06 35.05|-41 35 18.3| 5.59|196.64603079|-41.58840727
 64003|13 06 54.23|-35 51 42.6| 5.63|196.72595485|-35.86182329
 64004|13 06 54.66|-49 54 22.4| 4.27|196.72776268|-49.90621586
 64022|13 07 10.71|+27 37 29.7| 4.80|196.79461606|+27.62490672
 64033|13 07 24.31|-59 51 37.8| 5.98|196.85129190|-59.86049011
 64053|13 07 38.32|-53 27 35.0| 5.70|196.90966874|-53.45971466
 64078|13 07 53.80|-10 44 25.4| 5.15|196.97417871|-10.74038528
 64094|13 08 07.16|-65 18 21.7| 5.44|197.02982892|-65.30601741
 64122|13 08 32.49|-08 59 03.2| 5.57|197.13536674|-08.98422912
 64166|13 09 03.28|-23 07 04.7| 4.94|197.26367917|-23.11797275
 64179|13 09 12.42|+10 01 20.9| 5.79|197.30175990|+10.02246786
 64224|13 09 45.29|-10 19 45.5| 5.95|197.43870138|-10.32930884
 64226|13 09 47.89|+16 50 55.1| 5.91|197.44953121|+16.84864890
 64238|13 09 57.01|-05 32 20.1| 4.38|197.48755015|-05.53892987
 64241|13 09 59.55|+17 31 44.8| 4.32|197.49812263|+17.52911621
 64246|13 10 03.27|+38 29 55.9| 5.91|197.51361945|+38.49887224
 64332|13 11 08.94|-42 13 58.2| 5.78|197.78725433|-42.23282785
 64348|13 11 23.31|-43 22 06.6| 5.24|197.84711464|-43.36850529
 64390|13 11 51.38|-69 56 31.3| 5.92|197.96408969|-69.94201974
 64394|13 11 52.92|+27 52 33.7| 4.23|197.97051117|+27.87603769
