HIP|RAhms|DEdms|Vmag|RAICRS|DEICRS
 36366|07 29 06.61|+31 47 02.7| 4.16|112.27754045|+31.78407932
 36377|07 29 13.88|-43 18 06.8| 3.25|112.30782630|-43.30189129
 36388|07 29 18.68|-01 54 19.1| 5.60|112.32781398|-01.90530704
 36393|07 29 20.46|+28 07 06.3| 5.07|112.33526392|+28.11840380
 36396|07 29 22.11|-10 19 36.0| 5.75|112.34212843|-10.32665700
 36399|07 29 25.61|-07 33 05.3| 5.86|112.35670842|-07.55147431
 36425|07 29 47.78|+12 00 23.8| 4.55|112.44909205|+12.00661101
 36429|07 29 48.78|+27 54 58.3| 5.01|112.45325480|+27.91619925
 36431|07 29 51.41|-23 01 27.5| 4.85|112.46422560|-23.02429924
 36439|07 29 55.86|+49 40 21.6| 5.35|112.48273588|+49.67266207
 36444|07 29 59.74|-52 39 04.6| 5.87|112.49893731|-52.65128759
 36496|07 30 30.91|-54 23 58.0| 5.95|112.62877606|-54.39943169
 36514|07 30 42.61|-30 57 44.2| 4.65|112.67754202|-30.96228313
 36528|07 30 52.70|+68 27 56.6| 5.63|112.71958057|+68.46572700
 36547|07 31 04.48|+82 24 41.6| 4.92|112.76866761|+82.41156871
 36616|07 31 48.37|+17 05 10.4| 5.45|112.95154548|+17.08622915
 36640|07 32 05.82|-08 52 51.3| 5.90|113.02423825|-08.88091851
 36641|07 32 05.95|+01 54 52.1| 5.24|113.02479230|+01.91448227
 36721|07 33 09.78|-24 42 38.8| 5.84|113.29074012|-24.71078019
 36723|07 33 11.68|+03 17 25.0| 5.59|113.29864650|+03.29027472
 36732|07 33 19.55|-19 24 44.5| 5.64|113.33145749|-19.41235409
 36760|07 33 36.50|+15 49 36.1| 5.27|113.40207910|+15.82669239
 36773|07 33 47.97|-14 31 26.0| 4.82|113.44986614|-14.52390109
 36778|07 33 51.05|-36 20 18.2| 5.42|113.46270622|-36.33840157
 36795|07 34 03.21|-22 17 46.3| 4.44|113.51335813|-22.29618077
 36812|07 34 15.89|+03 22 18.3| 5.83|113.56622524|+03.37173632
 36817|07 34 18.67|-23 28 25.2| 5.06|113.57780754|-23.47366319
 36848|07 34 34.83|-27 00 44.8| 5.78|113.64510631|-27.01244868
 36850|07 34 36.00|+31 53 19.1| 1.58|113.65001898|+31.88863645
 36896|07 35 08.82|+30 57 39.3| 5.34|113.78673794|+30.96091010
 36917|07 35 22.94|-28 22 09.4| 4.65|113.84557180|-28.36927798
 36942|07 35 39.70|-52 32 01.7| 4.93|113.91541745|-52.53380809
 36962|07 35 55.37|+26 53 45.6| 4.06|113.98071783|+26.89600343
 36981|07 36 03.90|-14 29 34.0| 5.66|114.01623979|-14.49277322
 37023|07 36 31.66|+46 10 49.3| 5.66|114.13190951|+46.18036783
 37031|07 36 34.77|+05 51 43.6| 5.89|114.14487545|+05.86210427
 37036|07 36 41.04|-19 42 08.5| 5.69|114.17099481|-19.70235325
 37043|07 36 43.93|-48 49 48.6| 5.69|114.18302388|-48.83016970
 37046|07 36 47.05|+55 45 18.6| 5.93|114.19602820|+55.75515475
 37088|07 37 16.73|-04 06 39.7| 5.14|114.31971063|-04.11102250
 37096|07 37 22.12|-34 58 06.9| 4.53|114.34216663|-34.96857044
 37140|07 37 53.88|+48 46 26.1| 5.93|114.47449454|+48.77391150
